,0,1,2,3,4
Cisco TelePresence,Software Developers,Computer Network Architects,Unclassified Occupation,Dental Laboratory Technicians,Computer User Support Specialists
Merchandise Management,Retail Salespersons,Stockers and Order Fillers,First-Line Supervisors of Retail Sales Workers,Unclassified Occupation,"Laborers and Freight, Stock, and Material Movers, Hand"
Stackdriver,Software Developers,Industrial Engineers,Database Administrators,"Computer Occupations, All Other",Computer Network Architects
Oracle Exadata,Database Architects,Database Administrators,"Computer Occupations, All Other",Software Developers,Computer Systems Analysts
Nurse Licensure Compact,Registered Nurses,Medical and Health Services Managers,Nurse Practitioners,Clinical Laboratory Technologists and Technicians,Health Education Specialists
Grief Counseling,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors","Social Workers, All Other",Registered Nurses,Recreational Therapists,Management Analysts
Sedatives,Dental Assistants,"Dentists, General",Registered Nurses,Social and Community Service Managers,Obstetricians and Gynecologists
Lithuanian Language,Heavy and Tractor-Trailer Truck Drivers,Customer Service Representatives,"Dispatchers, Except Police, Fire, and Ambulance",Interpreters and Translators,Bus and Truck Mechanics and Diesel Engine Specialists
Workflow Technology,Software Developers,General and Operations Managers,Data Scientists,Customer Service Representatives,Management Analysts
Unemployment Insurance,Security Guards,Data Entry Keyers,Accountants and Auditors,Human Resources Managers,Human Resources Specialists
City Ledgers,"Hotel, Motel, and Resort Desk Clerks",Accountants and Auditors,"Bookkeeping, Accounting, and Auditing Clerks",Financial Managers,Lodging Managers
Server Supported Gaming,Computer User Support Specialists,"Computer Occupations, All Other",Network and Computer Systems Administrators,Software Developers,Customer Service Representatives
XStream,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","Engineers, All Other",First-Line Supervisors of Office and Administrative Support Workers,"Managers, All Other",Software Developers
Atomic force microscope (AFM),"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Chemists,Natural Sciences Managers,"Life Scientists, All Other",Operations Research Analysts
RxJS,Software Developers,Web Developers,Computer Systems Analysts,Computer Programmers,General and Operations Managers
Interactive Web Pages,Web Developers,Network and Computer Systems Administrators,Software Developers,Unclassified Occupation,Graphic Designers
Serial Communications,Software Developers,"Computer Occupations, All Other",Computer Hardware Engineers,Electrical Engineers,"Electronics Engineers, Except Computer"
Pascal (Programming Language),Software Developers,"Computer Occupations, All Other",Avionics Technicians,Receptionists and Information Clerks,Database Administrators
Financial Monitoring,Financial and Investment Analysts,Financial Managers,"Managers, All Other",Accountants and Auditors,Construction Managers
Family Resources,Management Analysts,Unclassified Occupation,"Child, Family, and School Social Workers",Healthcare Social Workers,Accountants and Auditors
Medidata Rave,Data Scientists,Natural Sciences Managers,Computer Programmers,Medical and Health Services Managers,Database Architects
WCF/Web API,Software Developers,"Computer Occupations, All Other",Web Developers,Computer Programmers,Computer Network Architects
Venture Capital,Unclassified Occupation,"Managers, All Other",Accountants and Auditors,Operations Research Analysts,Lawyers
SystemVerilog (Direct Programming Interface),Electrical Engineers,Software Developers,"Electronics Engineers, Except Computer",Computer Hardware Engineers,Unclassified Occupation
Certified Hotel Administrator,General and Operations Managers,Food Service Managers,Lodging Managers,"First-Line Supervisors of Mechanics, Installers, and Repairers",Project Management Specialists
Hardware Asset Management,Computer User Support Specialists,Financial and Investment Analysts,"Computer Occupations, All Other",Software Developers,Management Analysts
Scalability Testing,Software Quality Assurance Analysts and Testers,Software Developers,"Computer Occupations, All Other",Database Administrators,Computer and Information Research Scientists
Master Data Management,Database Architects,Software Developers,"Computer Occupations, All Other",Database Administrators,Data Scientists
Veterans Administration,Social and Human Service Assistants,Computer User Support Specialists,"Bookkeeping, Accounting, and Auditing Clerks",Registered Nurses,"Compensation, Benefits, and Job Analysis Specialists"
General Chemistry,Postsecondary Teachers,Chemists,Clinical Laboratory Technologists and Technicians,Medical and Health Services Managers,Operations Research Analysts
Saddle Stitcher,"Production Workers, All Other",Print Binding and Finishing Workers,Printing Press Operators,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","Cutting and Slicing Machine Setters, Operators, and Tenders"
Sonicwall,"Computer Occupations, All Other",Computer User Support Specialists,Network and Computer Systems Administrators,Computer Network Architects,Unclassified Occupation
Confidence Intervals,Data Scientists,Registered Nurses,Software Developers,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Management Analysts
FlexiSign (Software),Graphic Designers,Software Developers,Industrial Production Managers,Helpers--Production Workers,Retail Salespersons
Quality Function Deployment (QFD),Industrial Engineers,Industrial Production Managers,"Computer Occupations, All Other",Commercial and Industrial Designers,Mechanical Engineers
Express.js,Software Developers,Web Developers,Computer Systems Analysts,"Computer Occupations, All Other",Computer Programmers
Antibodies,Clinical Laboratory Technologists and Technicians,Licensed Practical and Licensed Vocational Nurses,Chemists,Medical Equipment Preparers,"Medical Scientists, Except Epidemiologists"
Respite Care,Home Health and Personal Care Aides,Medical and Health Services Managers,Childcare Workers,Registered Nurses,Unclassified Occupation
Confluent,Software Developers,"Computer Occupations, All Other",Computer Systems Analysts,Database Administrators,Database Architects
Sublime Text Editor,Software Developers,Web Developers,Unclassified Occupation,Tutors,"Production, Planning, and Expediting Clerks"
Nodes (Networking),Software Developers,"Computer Occupations, All Other",Network and Computer Systems Administrators,Computer Network Architects,Database Administrators
Oracle Responsys (Marketing Software),Market Research Analysts and Marketing Specialists,Marketing Managers,Software Developers,"Computer Occupations, All Other",Project Management Specialists
Certificate Of Cloud Security Knowledge,Information Security Analysts,"Computer Occupations, All Other",Software Developers,Management Analysts,Sales Engineers
Food Protection Manager Certification,"Cooks, Restaurant",Food Service Managers,Dietitians and Nutritionists,First-Line Supervisors of Food Preparation and Serving Workers,Unclassified Occupation
File Replication Service,Network and Computer Systems Administrators,Computer User Support Specialists,"Computer Occupations, All Other","Special Education Teachers, Middle School",Funeral Attendants
Hand Coding,Web Developers,Software Developers,"Designers, All Other",Market Research Analysts and Marketing Specialists,Computer Programmers
Surface-Mount Technology,Electrical and Electronic Engineering Technologists and Technicians,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","Production Workers, All Other","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",Electrical Engineers
Certified Therapeutic Recreation Specialist,Recreation Workers,Recreational Therapists,Medical and Health Services Managers,Exercise Trainers and Group Fitness Instructors,"Therapists, All Other"
Certified Professional Salesperson,Sales Managers,Operations Research Analysts,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",First-Line Supervisors of Non-Retail Sales Workers,General and Operations Managers
Desktop Management,Computer User Support Specialists,"Computer Occupations, All Other",Network and Computer Systems Administrators,Unclassified Occupation,Software Developers
Laser Levels,Carpenters,Unclassified Occupation,Construction Managers,Construction Laborers,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
Building Automation Systems,"Maintenance and Repair Workers, General","Heating, Air Conditioning, and Refrigeration Mechanics and Installers",Facilities Managers,Mechanical Engineers,Software Developers
Serial Dilutions,Microbiologists,Unclassified Occupation,Clinical Laboratory Technologists and Technicians,"Biological Scientists, All Other",Operations Research Analysts
Disability Income,Heavy and Tractor-Trailer Truck Drivers,"Claims Adjusters, Examiners, and Investigators","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Personal Financial Advisors,Insurance Claims and Policy Processing Clerks
Remote Application Platform,Data Scientists,Software Developers,Computer Network Architects,Unclassified Occupation,"Financial Specialists, All Other"
Graphics Processing Unit (GPU),Software Developers,Computer and Information Research Scientists,"Computer Occupations, All Other",Computer Hardware Engineers,Industrial Engineers
Thoracentesis,Registered Nurses,"Physicians, All Other",Physician Assistants,Diagnostic Medical Sonographers,Radiologists
PeopleSoft Customer Relationship Management (CRM),"Computer Occupations, All Other","Managers, All Other",Software Developers,Computer Network Architects,Human Resources Specialists
Fingerstick,Clinical Laboratory Technologists and Technicians,Phlebotomists,Medical Assistants,"Health Technologists and Technicians, All Other",Customer Service Representatives
Valuation Models,Unclassified Occupation,Financial and Investment Analysts,Financial Managers,"Managers, All Other",Management Analysts
Equipment Efficiency,First-Line Supervisors of Production and Operating Workers,"Maintenance and Repair Workers, General","First-Line Supervisors of Mechanics, Installers, and Repairers",Industrial Engineering Technologists and Technicians,Architectural and Engineering Managers
Certified Rehabilitation Registered Nurse,Registered Nurses,Medical and Health Services Managers,Nurse Practitioners,"Health Technologists and Technicians, All Other",Social and Human Service Assistants
Color Layout Descriptor,Graphic Designers,Web Developers,Commercial and Industrial Designers,Special Effects Artists and Animators,"Designers, All Other"
Parasitology,Clinical Laboratory Technologists and Technicians,Medical Equipment Preparers,Radiologic Technologists and Technicians,Zoologists and Wildlife Biologists,Medical and Health Services Managers
Prostacyclin,Registered Nurses,"Special Education Teachers, Middle School",Funeral Attendants,Dietetic Technicians,"Opticians, Dispensing"
Torque (Physics),Customer Service Representatives,Miscellaneous Assemblers and Fabricators,"Inspectors, Testers, Sorters, Samplers, and Weighers","Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Unclassified Occupation
Vital Statistics,Medical Assistants,Licensed Practical and Licensed Vocational Nurses,"Health Technologists and Technicians, All Other",Dental Assistants,Registered Nurses
Portal Servers,Software Developers,"Computer Occupations, All Other","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Web Developers,Management Analysts
Development Support,Software Developers,"Computer Occupations, All Other",Management Analysts,Computer Systems Analysts,Web Developers
Chemical Synthesis,Chemists,Natural Sciences Managers,Operations Research Analysts,Chemical Engineers,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Marketing Mix Modeling,Data Scientists,Marketing Managers,"Managers, All Other",Unclassified Occupation,Market Research Analysts and Marketing Specialists
Overlay Transport Virtualization,Computer Network Architects,Heavy and Tractor-Trailer Truck Drivers,"Computer Occupations, All Other",Software Developers,Unclassified Occupation
Educational Evaluation,School Psychologists,Home Health and Personal Care Aides,"Educational, Guidance, and Career Counselors and Advisors",Training and Development Specialists,Instructional Coordinators
Monolingual Learner's Dictionary,Speech-Language Pathologists,"Elementary School Teachers, Except Special Education",Private Detectives and Investigators,"Teachers and Instructors, All Other",Customer Service Representatives
Cyber Defense,Information Security Analysts,Unclassified Occupation,"Computer Occupations, All Other",Computer Systems Analysts,Software Developers
Nonparametric Statistics,Statisticians,Data Scientists,"Managers, All Other",Operations Research Analysts,Unclassified Occupation
Vector Graphics,Graphic Designers,"Designers, All Other",Unclassified Occupation,Software Developers,Web Developers
Pingfederate,"Computer Occupations, All Other",Software Developers,Management Analysts,Information Security Analysts,"Engineers, All Other"
Life Cycle Planning,"Computer Occupations, All Other",Software Developers,"Managers, All Other",Computer Network Architects,Unclassified Occupation
Interface Technologies,Software Developers,Electrical Engineers,"Computer Occupations, All Other",Industrial Engineers,Data Scientists
Certified Registered Central Service Technician (CRCST),Medical Equipment Preparers,First-Line Supervisors of Housekeeping and Janitorial Workers,Medical and Health Services Managers,Unclassified Occupation,"Health Technologists and Technicians, All Other"
Google Analytics Certification,Market Research Analysts and Marketing Specialists,Marketing Managers,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Public Relations Specialists,"Managers, All Other"
Nail Care,Nursing Assistants,Manicurists and Pedicurists,Home Health and Personal Care Aides,"Hairdressers, Hairstylists, and Cosmetologists","Hotel, Motel, and Resort Desk Clerks"
Microsoft Hardware,"Computer Occupations, All Other",Computer User Support Specialists,"Educational, Guidance, and Career Counselors and Advisors","Managers, All Other",Software Developers
Battle Management Technology,Military-only occupations,Software Developers,Computer Systems Analysts,Air Traffic Controllers,"Installation, Maintenance, and Repair Workers, All Other"
Fleet Management,"First-Line Supervisors of Transportation and Material Moving Workers, Except Aircraft Cargo Handling Supervisors",General and Operations Managers,Sales Managers,First-Line Supervisors of Office and Administrative Support Workers,"First-Line Supervisors of Mechanics, Installers, and Repairers"
Intra-Aortic Balloon Pump,Registered Nurses,Cardiovascular Technologists and Technicians,"Health Technologists and Technicians, All Other",Clinical Laboratory Technologists and Technicians,Cardiologists
ISO 20022,"Computer Occupations, All Other",Marketing Managers,Management Analysts,General and Operations Managers,Software Developers
Mechatronics,Mechanical Engineers,Electrical Engineers,Unclassified Occupation,"Engineers, All Other","Maintenance and Repair Workers, General"
Microsoft Operating Systems,Computer User Support Specialists,"Computer Occupations, All Other",Unclassified Occupation,Network and Computer Systems Administrators,Software Developers
Value-Added Reseller,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Sales Managers,Customer Service Representatives,Computer User Support Specialists,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products"
Inflammatory Bowel Disease,Postsecondary Teachers,General Internal Medicine Physicians,Sales Managers,Registered Nurses,Operations Research Analysts
Web 2.0,Software Developers,Web Developers,Market Research Analysts and Marketing Specialists,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Computer Occupations, All Other"
Bedside Care,Registered Nurses,Licensed Practical and Licensed Vocational Nurses,Health Education Specialists,"Healthcare Support Workers, All Other",Medical Records Specialists
OpenAPI Specification,Software Developers,"Computer Occupations, All Other",Database Architects,Computer Systems Analysts,Web Developers
Powerpc,Electrical Engineers,Software Developers,"Computer Occupations, All Other",Computer and Information Research Scientists,Information Security Analysts
Relational Online Analytical Processing (ROLAP),"Managers, All Other",Accountants and Auditors,Database Architects,Data Scientists,"Computer Occupations, All Other"
Dial Calipers,Machinists,"Welders, Cutters, Solderers, and Brazers",Computer Numerically Controlled Tool Operators,"Elementary School Teachers, Except Special Education","Inspectors, Testers, Sorters, Samplers, and Weighers"
Public Broadcasting,Public Relations Specialists,Financial and Investment Analysts,Unclassified Occupation,Chief Executives,General and Operations Managers
Biomechanics,Postsecondary Teachers,Orthotists and Prosthetists,Exercise Trainers and Group Fitness Instructors,Operations Research Analysts,"Medical Scientists, Except Epidemiologists"
Defibrillation,Registered Nurses,Paramedics,General and Operations Managers,Medical Equipment Repairers,"Health Technologists and Technicians, All Other"
Voltage Drop,Electrical Engineers,"Engineers, All Other",Civil Engineers,Mechanical Engineers,"Drafters, All Other"
Equipment Demonstration,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Maids and Housekeeping Cleaners,"Maintenance and Repair Workers, General",Clinical Laboratory Technologists and Technicians
Test Method,Industrial Engineers,Clinical Laboratory Technologists and Technicians,Chemists,Mechanical Engineers,Industrial Production Managers
Registered Financial Associate,Unclassified Occupation,Personal Financial Advisors,Accountants and Auditors,"Tax Examiners and Collectors, and Revenue Agents",Financial Managers
Network Packet,Information Security Analysts,Computer Network Architects,"Computer Occupations, All Other",Software Developers,Management Analysts
Social Media Optimization,Postsecondary Teachers,Unclassified Occupation,Market Research Analysts and Marketing Specialists,"Managers, All Other",Marketing Managers
Xero (Accounting Software),Accountants and Auditors,"Bookkeeping, Accounting, and Auditing Clerks",Financial Managers,Computer Systems Analysts,Management Analysts
Production Function,First-Line Supervisors of Production and Operating Workers,Industrial Production Managers,Helpers--Production Workers,Logisticians,Veterinarians
Process Safety Management,Occupational Health and Safety Specialists,"Managers, All Other",Chemical Engineers,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Architectural and Engineering Managers
Prophylaxis,Dental Hygienists,Registered Nurses,Health Education Specialists,"Dentists, General","Health Technologists and Technicians, All Other"
Discontinuous Transmission,"Computer Occupations, All Other","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Management Analysts,Sales Managers,"Health Technologists and Technicians, All Other"
Fire Restoration,"Installation, Maintenance, and Repair Workers, All Other","Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Cost Estimators,First-Line Supervisors of Firefighting and Prevention Workers,Hazardous Materials Removal Workers
Matplotlib,Data Scientists,Software Developers,Database Administrators,Unclassified Occupation,"Computer Occupations, All Other"
Linear Variable Differential Transformer,"First-Line Supervisors of Mechanics, Installers, and Repairers",Mechanical Engineers,Industrial Engineering Technologists and Technicians,"Health Technologists and Technicians, All Other",Computer Network Architects
American Board Of Optometry Certified,First-Line Supervisors of Retail Sales Workers,"Opticians, Dispensing",General and Operations Managers,Ophthalmic Medical Technicians,Clinical Laboratory Technologists and Technicians
Diaper Changing,Childcare Workers,"Preschool Teachers, Except Special Education","Teaching Assistants, Except Postsecondary","Special Education Teachers, All Other",Unclassified Occupation
Dagger 2,Software Developers,Software Quality Assurance Analysts and Testers,Unclassified Occupation,Computer Programmers,Architectural and Engineering Managers
Inductively Coupled Plasma,Chemists,First-Line Supervisors of Production and Operating Workers,Sales Managers,Chemical Technicians,"Maintenance and Repair Workers, General"
Rapid Response Team,Registered Nurses,"Physicians, All Other",Respiratory Therapists,"Health Technologists and Technicians, All Other",Medical and Health Services Managers
Torque Wrench,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Miscellaneous Assemblers and Fabricators,"Electrical, Electronic, and Electromechanical Assemblers, Except Coil Winders, Tapers, and Finishers","Maintenance and Repair Workers, General",Automotive Service Technicians and Mechanics
Component Engineering,Mechanical Engineers,Software Developers,Electrical Engineers,Architectural and Engineering Managers,Unclassified Occupation
Shareable Content Object Reference Model,Instructional Coordinators,Training and Development Specialists,Software Developers,Unclassified Occupation,"Managers, All Other"
File Listing,Receptionists and Information Clerks,"Hotel, Motel, and Resort Desk Clerks",Concierges,Sales Managers,Medical Secretaries and Administrative Assistants
Credit Risk Modeling,Financial Risk Specialists,Credit Analysts,"Financial Specialists, All Other",Data Scientists,Unclassified Occupation
Switched-Mode Power Supply,Electrical Engineers,"Electronics Engineers, Except Computer",Unclassified Occupation,Computer Hardware Engineers,Market Research Analysts and Marketing Specialists
AWS Elastic Beanstalk,Software Developers,"Computer Occupations, All Other",Web Developers,Computer Network Architects,Architectural and Engineering Managers
Recovery Manager (RMAN),Database Architects,Database Administrators,"Computer Occupations, All Other",Software Developers,"Managers, All Other"
Grants Management System,Financial Managers,General and Operations Managers,Financial and Investment Analysts,Computer User Support Specialists,"Managers, All Other"
Unmanned Aerial Systems (UAS),Construction Managers,Surveyors,Postsecondary Teachers,Commercial Pilots,Sales Managers
Highway Design,Civil Engineers,"Transportation, Storage, and Distribution Managers",Architectural and Engineering Managers,Unclassified Occupation,"Telecommunications Equipment Installers and Repairers, Except Line Installers"
Interdisciplinary Collaboration,Registered Nurses,Medical and Health Services Managers,Medical Records Specialists,Community Health Workers,Postsecondary Teachers
Blobs,Software Developers,"Computer Occupations, All Other",Industrial Engineering Technologists and Technicians,Computer Systems Analysts,"Production Workers, All Other"
Model Risk Management,Financial Risk Specialists,"Financial Specialists, All Other",General and Operations Managers,Data Scientists,Financial Managers
Offensive Security Wireless Professional,Information Security Analysts,"Computer Occupations, All Other",Computer and Information Research Scientists,Software Developers,Facilities Managers
Internal Affairs,Word Processors and Typists,Detectives and Criminal Investigators,Private Detectives and Investigators,Unclassified Occupation,"Education Administrators, Postsecondary"
Upskilling,Software Developers,"Computer Occupations, All Other","Managers, All Other",Sales Managers,Marketing Managers
Delayed Language Development,Speech-Language Pathologists,Social Science Research Assistants,Nursing Assistants,Natural Sciences Managers,Operations Research Analysts
5S Methodology,"Laborers and Freight, Stock, and Material Movers, Hand","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",Clinical Laboratory Technologists and Technicians,Industrial Truck and Tractor Operators,Machinists
Oracle ATG Web Commerce,Software Developers,"Business Operations Specialists, All Other","Computer Occupations, All Other",Web Developers,Computer Systems Analysts
Myocardial Infarction,Cardiovascular Technologists and Technicians,Registered Nurses,Clinical Laboratory Technologists and Technicians,"Healthcare Diagnosing or Treating Practitioners, All Other",Medical and Health Services Managers
Flash Technology,Construction Laborers,Helpers--Production Workers,First-Line Supervisors of Construction Trades and Extraction Workers,Crane and Tower Operators,"Production Workers, All Other"
Drainage Systems,"Plumbers, Pipefitters, and Steamfitters",Civil Engineers,Unclassified Occupation,Landscaping and Groundskeeping Workers,Surgical Assistants
Simple Logging Facade For Java (SLF4J),Software Developers,"Computer Occupations, All Other",Web Developers,Project Management Specialists,Computer Systems Analysts
CARF Compliance,Medical and Health Services Managers,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",Training and Development Managers,"Life, Physical, and Social Science Technicians, All Other",General and Operations Managers
Dynamic Program Analysis,Mechanical Engineers,Information Security Analysts,"Computer Occupations, All Other",Construction Managers,Software Developers
Millennium Development Goals,Market Research Analysts and Marketing Specialists,Marketing Managers,"Special Education Teachers, Middle School",Barbers,"Opticians, Dispensing"
SAP EWM,Data Scientists,"Computer Occupations, All Other",Computer User Support Specialists,Computer Systems Analysts,Software Developers
Employee Satisfaction,Human Resources Specialists,Human Resources Managers,General and Operations Managers,Lodging Managers,Chefs and Head Cooks
Freight Payments,"Transportation, Storage, and Distribution Managers",Logisticians,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Financial and Investment Analysts,"Bookkeeping, Accounting, and Auditing Clerks"
Low-Noise Amplifier,Electrical Engineers,"Electronics Engineers, Except Computer",Unclassified Occupation,Computer Hardware Engineers,Mechanical Engineers
Wireless Site Survey,Construction Managers,Computer Network Architects,"Computer Occupations, All Other",Sales Managers,Project Management Specialists
BMC Patrol,Network and Computer Systems Administrators,Database Architects,Software Developers,"Computer Occupations, All Other",Computer Network Support Specialists
Ghost (Backup Software),Computer User Support Specialists,Software Developers,"Computer, Automated Teller, and Office Machine Repairers",Unclassified Occupation,"Computer Occupations, All Other"
AWK (Programming Language),Software Developers,"Computer Occupations, All Other",Database Administrators,Computer User Support Specialists,Database Architects
Quantum Chemistry,Natural Sciences Managers,"Biological Scientists, All Other",Postsecondary Teachers,Materials Scientists,Barbers
CNC Milling,Machinists,Computer Numerically Controlled Tool Operators,Computer Numerically Controlled Tool Programmers,Industrial Engineers,Industrial Engineering Technologists and Technicians
Electronic Reporting Systems,Phlebotomists,Medical and Health Services Managers,Diagnostic Medical Sonographers,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Demonstrators and Product Promoters
Operational Intelligence,Software Developers,Marketing Managers,Sales Managers,"Computer Occupations, All Other","Managers, All Other"
Project Charter,"Computer Occupations, All Other",Project Management Specialists,"Managers, All Other",Management Analysts,Data Scientists
Database Programming,Software Developers,Database Administrators,Data Scientists,Database Architects,Unclassified Occupation
Generic Routing Encapsulation,Computer Network Architects,"Computer Occupations, All Other",Software Developers,"Drafters, All Other",Computer Programmers
Opportunity Analysis,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Financial and Investment Analysts,Sales Managers,Marketing Managers,"Managers, All Other"
Millimeter Waves,"Electronics Engineers, Except Computer",Unclassified Occupation,Electrical Engineers,Crane and Tower Operators,Computer Network Architects
Explosives Detection And Disposal,"Explosives Workers, Ordnance Handling Experts, and Blasters",Police and Sheriff's Patrol Officers,Military-only occupations,"Transportation, Storage, and Distribution Managers","Career/Technical Education Teachers, Secondary School"
Intraocular Pressure,Psychiatrists,Medical and Health Services Managers,Software Developers,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",Heavy and Tractor-Trailer Truck Drivers
Pharmaceutical Compounding,Pharmacy Technicians,Pharmacists,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",Unclassified Occupation
Professional Rescuer CPR,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",Security Guards,Athletic Trainers,Emergency Medical Technicians,Exercise Trainers and Group Fitness Instructors
Hydrocarbon Exploration,Unclassified Occupation,Registered Nurses,Human Resources Managers,Human Resources Specialists,Software Developers
Computerized Patient Record System,"Physicians, All Other",Registered Nurses,Licensed Practical and Licensed Vocational Nurses,"Health Technologists and Technicians, All Other",Medical Assistants
Applied Statistics,Data Scientists,Management Analysts,Statisticians,Logisticians,"Managers, All Other"
E-Sourcing,Purchasing Managers,Buyers and Purchasing Agents,Marketing Managers,Unclassified Occupation,"Transportation, Storage, and Distribution Managers"
Recreational Vehicles,Cleaners of Vehicles and Equipment,Customer Service Representatives,Heavy and Tractor-Trailer Truck Drivers,"Claims Adjusters, Examiners, and Investigators",Recreational Vehicle Service Technicians
Access Rules,Software Developers,"Office Clerks, General",Computer User Support Specialists,Computer Network Architects,Computer Systems Analysts
Descriptive Statistics,Data Scientists,Statisticians,Unclassified Occupation,Medical and Health Services Managers,Software Developers
Preparation Of Salads,Food Service Managers,Fast Food and Counter Workers,Unclassified Occupation,Chefs and Head Cooks,"Cooks, Short Order"
Snow (Software),"Computer Occupations, All Other",Computer Systems Analysts,Management Analysts,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",Software Developers
Pharmaceutical Manufacturing,Industrial Production Managers,Industrial Engineers,Industrial Engineering Technologists and Technicians,"Managers, All Other","Inspectors, Testers, Sorters, Samplers, and Weighers"
Queueing Theory,Unclassified Occupation,Operations Research Analysts,Data Scientists,"Computer Occupations, All Other","Securities, Commodities, and Financial Services Sales Agents"
Lightning Web Components,Software Developers,"Computer Occupations, All Other",Database Administrators,Web Developers,Management Analysts
Logistics Strategy,"Transportation, Storage, and Distribution Managers",Logisticians,Unclassified Occupation,Buyers and Purchasing Agents,General and Operations Managers
Quick Response Manufacturing,Customer Service Representatives,Software Developers,Unclassified Occupation,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",First-Line Supervisors of Production and Operating Workers
Knowledge-Based Configuration,Computer Systems Analysts,Data Scientists,Software Developers,"Computer Occupations, All Other",Computer User Support Specialists
Async Await Pattern,Software Developers,Web Developers,Computer Systems Analysts,"Engineers, All Other",Unclassified Occupation
Third Normal Form,Database Architects,Database Administrators,Software Developers,Data Scientists,"Computer Occupations, All Other"
Audience Development,Marketing Managers,Public Relations Specialists,Market Research Analysts and Marketing Specialists,"Managers, All Other",Editors
Mobile Device Troubleshooting,Computer User Support Specialists,Unclassified Occupation,"Hotel, Motel, and Resort Desk Clerks","Computer Occupations, All Other",Computer Network Architects
Structural Materials,Civil Engineers,"Maintenance and Repair Workers, General",Natural Sciences Managers,Materials Engineers,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
Mining Engineering,Mechanical Engineers,Civil Engineers,"Mining and Geological Engineers, Including Mining Safety Engineers","Maintenance and Repair Workers, General",Unclassified Occupation
Teach Pendant Programming,"Control and Valve Installers and Repairers, Except Mechanical Door","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",Electro-Mechanical and Mechatronics Technologists and Technicians,Industrial Engineering Technologists and Technicians,Industrial Machinery Mechanics
Plumbing Design,Mechanical Engineers,Civil Engineers,Architectural and Civil Drafters,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",Mechanical Drafters
Web Scraping,Software Developers,Data Scientists,Database Administrators,Database Architects,Unclassified Occupation
Medicare Compliance,Registered Nurses,Medical and Health Services Managers,Nurse Practitioners,Management Analysts,"Managers, All Other"
Catalytic Converter,Automotive Service Technicians and Mechanics,"Production Workers, All Other","Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","Life, Physical, and Social Science Technicians, All Other","Inspectors, Testers, Sorters, Samplers, and Weighers"
Tear Sheet,"Sales and Related Workers, All Other","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",Unclassified Occupation,Customer Service Representatives,Librarians and Media Collections Specialists
Wireless Engineering,Computer Network Architects,Software Developers,"Computer Occupations, All Other",Web and Digital Interface Designers,Architectural and Engineering Managers
Street Marketing,Marketing Managers,Demonstrators and Product Promoters,Public Relations Specialists,Sales Managers,Animal Caretakers
Air Sampling,Occupational Health and Safety Specialists,"Environmental Science and Protection Technicians, Including Health",Environmental Engineers,Microbiologists,"Environmental Scientists and Specialists, Including Health"
Information Governance And Management,Unclassified Occupation,Software Developers,"Managers, All Other",Clinical Laboratory Technologists and Technicians,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products"
