,July 2022 actual,July 2024 predicted,Percent change,Monthly average obs,model,Normalized RMSE
Skill subcat: Content Management Systems,0.0043589313787056,0.0047139972670478,8.145709521301024,1537.5625,predicted job posting shares 02_29_39_11_05_2023 VAR top grid search runs #13 lvl subcategory,0.0370180739417341
Skill subcat: Contract Management,0.0281438676555452,0.0226512667280699,-19.51615532982046,8283.916666666666,predicted job posting shares 18_07_54_10_05_2023 VAR top grid search runs #4 lvl subcategory,0.0114666528362825
Skill subcat: Cost Accounting,0.0120987932249738,0.0204263970242338,68.83003655331943,3641.7291666666665,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0128937619755667
Skill subcat: Counseling Services,0.0108269479378055,0.0037055692939319,-65.7745717886681,2764.3541666666665,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0218712093356702
Skill subcat: Creative Design,0.0141861179365611,0.0100027768202286,-29.488977428779197,3882.625,predicted job posting shares 16_01_39_10_05_2023 VAR top grid search runs #0 lvl subcategory,0.0022967944075013
Skill subcat: Criminal Investigation and Forensics,0.0021518178781122,0.0010682743193782,-50.35479859868987,712.8541666666666,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0156096472477266
Skill subcat: Critical Thinking and Problem Solving,0.3183439322583674,0.333364021840526,4.718195655750189,94235.75,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.0197189068828414
Skill subcat: Cryptocurrency,0.0004917613317746,0.0012357681759766,151.2942958563113,77.35416666666667,predicted job posting shares 04_44_13_11_05_2023 VAR top grid search runs #15 lvl subcategory,0.0106227451718742
Skill subcat: Customer Relationship Management (CRM),0.050354022520159,0.0555233069907648,10.265881873759543,16617.208333333332,predicted job posting shares 19_11_14_10_05_2023 VAR top grid search runs #5 lvl subcategory,0.0122427677784372
Skill subcat: Customer Service,0.3333437588060579,0.3067404508624407,-7.980742774036824,97116.8125,predicted job posting shares 13_36_26_09_05_2023 ARIMA top grid search runs #0 lvl subcategory,0.0141102902806894
Skill subcat: Cybersecurity,0.022075045505988,0.0185244472183998,-16.08421729697035,6631.770833333333,predicted job posting shares 18_07_54_10_05_2023 VAR top grid search runs #4 lvl subcategory,0.013277331094214
Skill subcat: Dance,0.0002127810094355,0.0003400974204616,59.834480231043926,53.8125,predicted job posting shares 05_29_01_11_05_2023 VAR top grid search runs #17 lvl subcategory,0.0232280324551518
Skill subcat: Data Analysis,0.0841195818529124,0.0778468182185213,-7.456960075430919,24685.39583333333,predicted job posting shares 16_11_33_10_05_2023 VAR top grid search runs #1 lvl subcategory,0.0134657591926661
